receipt, quantity, food_id, month
1,1,21,1
1,5,11,1
2,1,7,7
2,3,11,7
2,4,37,7
2,3,45,7
3,5,3,1
3,3,42,1
3,3,33,1
4,1,5,7
4,2,12,7
4,1,47,7
4,4,17,7
5,2,42,10
5,5,6,10
5,3,18,10
6,4,2,2
6,3,4,2
6,4,34,2
7,1,15,8
7,4,16,8
7,2,23,8
7,3,40,8
8,1,34,7
8,2,29,7
8,1,2,7
8,3,3,7
9,1,36,2
9,2,23,2
9,3,26,2
9,5,18,2
9,4,35,2
10,4,45,11
10,4,44,11
11,2,49,10
11,5,17,10
11,4,48,10
11,1,38,10
12,4,2,12
12,2,3,12
12,3,41,12
12,2,21,12
12,5,11,12
12,4,37,12
12,2,49,12
13,4,43,11
13,1,17,11
13,2,48,11
13,1,3,11
14,4,35,3
14,4,17,3
14,4,43,3
14,5,45,3
15,5,43,6
15,5,15,6
15,3,37,6
16,3,0,7
16,1,46,7
16,4,2,7
16,1,20,7
16,5,48,7
17,2,17,1
17,5,47,1
18,1,14,4
19,5,16,3
19,1,39,3
20,5,42,12
20,4,13,12
21,1,7,5
21,2,11,5
21,5,37,5
21,2,45,5
22,3,7,3
22,5,15,3
22,1,49,3
23,4,23,8
23,1,24,8
23,1,40,8
23,5,41,8
23,3,43,8
24,4,28,1
24,2,47,1
24,5,15,1
24,1,9,1
25,2,33,12
25,2,32,12
25,2,37,12
26,4,19,5
26,4,8,5
26,4,25,5
26,2,39,5
26,1,20,5
26,5,16,5
26,2,45,5
26,5,5,5
27,4,32,10
27,5,24,10
27,3,13,10
27,5,33,10
27,1,22,10
28,4,14,1
28,1,44,1
29,3,13,6
29,1,44,6
29,4,49,6
29,5,20,6
29,4,6,6
29,5,40,6
29,1,39,6
30,1,46,9
30,5,13,9
31,3,28,5
31,1,27,5
31,3,8,5
32,5,1,11
32,1,19,11
33,1,36,1
33,1,6,1
34,2,7,12
34,3,15,12
34,1,49,12
35,3,12,1
35,2,31,1
35,4,36,1
35,4,48,1
36,5,17,4
36,3,47,4
36,5,29,4
